BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
   18.15223     1.5069E+00     5.4057E-01     4.6055E-03    -1.3882E-02     0.0000E+00     2.2186-314     5.4765E-03
   18.26028     1.5081E+00     5.3995E-01     1.0784E-02    -1.6213E-02     0.0000E+00     2.2186-314    -4.3263E-04
   18.36833     1.5088E+00     5.3960E-01     6.0597E-03    -1.7522E-02     0.0000E+00     2.2186-314     8.1121E-03
   18.47638     1.5105E+00     5.3868E-01     1.5816E-02    -2.0940E-02     0.0000E+00     2.2186-314    -5.6083E-03
   18.58443     1.5106E+00     5.3861E-01     1.1539E-03    -2.1190E-02     0.0000E+00     2.2186-314    -2.2585E-04
   18.69247     1.5103E+00     5.3880E-01    -3.1531E-03    -2.0508E-02     0.0000E+00     2.2186-314     1.2605E-02
   18.80052     1.5118E+00     5.3796E-01     1.4411E-02    -2.3622E-02     0.0000E+00     2.2186-314     4.0903E-03
   18.90857     1.5135E+00     5.3707E-01     1.5531E-02    -2.6979E-02     0.0000E+00     2.2186-314     8.6219E-03
   19.01662     1.5160E+00     5.3572E-01     2.3437E-02    -3.2043E-02     0.0000E+00     2.2186-314    -1.3275E-03
   19.12467     1.5175E+00     5.3497E-01     1.3220E-02    -3.4900E-02     0.0000E+00     2.2186-314    -7.3153E-03
   19.23272     1.5168E+00     5.3533E-01    -6.3091E-03    -3.3537E-02     0.0000E+00     2.2186-314     4.0519E-03
   19.34077     1.5162E+00     5.3562E-01    -5.0223E-03    -3.2451E-02     0.0000E+00     2.2186-314    -6.6846E-03
   19.44882     1.5139E+00     5.3684E-01    -2.1354E-02    -2.7837E-02     0.0000E+00     2.2186-314    -6.1876E-03
   19.55687     1.5102E+00     5.3884E-01    -3.4586E-02    -2.0363E-02     0.0000E+00     2.2186-314    -1.1713E-03
   19.66492     1.5062E+00     5.4098E-01    -3.7017E-02    -1.2364E-02     0.0000E+00     2.2186-314     2.4519E-03
   19.77296     1.5028E+00     5.4284E-01    -3.1730E-02    -5.5068E-03     0.0000E+00     2.2186-314     1.1926E-03
   19.88101     1.4998E+00     5.4446E-01    -2.7747E-02     4.8921E-04     0.0000E+00     2.2186-314     4.6392E-03
